date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:19:32	110/110	---M-Z	200	added ('OK')	text/plain	etag:%22067f86a57a63c23c07ef3ac4dd1e411c%22	https://heartwarming-example-892411.framer.app/robots.txt		(from )
16:19:32	308093/308093	---M-Z	200	added ('OK')	text/html	etag:%22659655038b1a7863007e50c81d04a576%22	https://heartwarming-example-892411.framer.app/	C:/Users/ACER/Downloads/Azaad%20Panchi/Azaad%20Panchi/heartwarming-example-892411.framer.app/index.html	(from )
16:19:32	223/223	---M--	200	added ('OK')	image/png	etag:%22810193ede98443698ba6b54575e9cf3c%22	https://framerusercontent.com/sites/icons/default-favicon-light.v1.png	C:/Users/ACER/Downloads/Azaad%20Panchi/Azaad%20Panchi/framerusercontent.com/sites/icons/default-favicon-light.v1.png	(from https://heartwarming-example-892411.framer.app/)
16:19:33	227/227	---M--	200	added ('OK')	image/png	etag:%22e44c40138d977deec13c54928aec692d%22	https://framerusercontent.com/sites/icons/default-favicon-dark.v1.png	C:/Users/ACER/Downloads/Azaad%20Panchi/Azaad%20Panchi/framerusercontent.com/sites/icons/default-favicon-dark.v1.png	(from https://heartwarming-example-892411.framer.app/)
16:19:33	8598/8598	---M--	200	added ('OK')	image/png	etag:%2218abb0c2b2ff01a1658d805c5dd98278%22	https://framerusercontent.com/sites/icons/default-touch-icon.v3.png	C:/Users/ACER/Downloads/Azaad%20Panchi/Azaad%20Panchi/framerusercontent.com/sites/icons/default-touch-icon.v3.png	(from https://heartwarming-example-892411.framer.app/)
16:19:34	159979/159979	---M-Z	200	added ('OK')	text/html	etag:%229a8a84c53c4927a4c107c3a17391f5b0%22	https://heartwarming-example-892411.framer.app/contact-us	C:/Users/ACER/Downloads/Azaad%20Panchi/Azaad%20Panchi/heartwarming-example-892411.framer.app/contact-us.html	(from https://heartwarming-example-892411.framer.app/)
16:19:35	336925/336925	---MC-	200	added ('OK')	image/png	etag:%2222c7a5af52d662031fde2209ea5eceaa%22	https://framerusercontent.com/images/0bWezq5nZ1sUTLJjkFvtI3XRKP0.png	C:/Users/ACER/Downloads/Azaad%20Panchi/Azaad%20Panchi/framerusercontent.com/images/0bWezq5nZ1sUTLJjkFvtI3XRKP0.png	(from https://heartwarming-example-892411.framer.app/)
16:19:35	127289/127289	---MC-	200	added ('OK')	image/jpeg	etag:%2279af9f32b9582da3b4bc4dcb815bcc4f%22	https://framerusercontent.com/images/Ut9uJpMIUedZ7leWZ9Ow1Zeu6w.jpg	C:/Users/ACER/Downloads/Azaad%20Panchi/Azaad%20Panchi/framerusercontent.com/images/Ut9uJpMIUedZ7leWZ9Ow1Zeu6w.jpg	(from https://heartwarming-example-892411.framer.app/)
16:19:36	8861/8861	---MC-	200	added ('OK')	image/png	etag:%22b88238154e2c52417a30759ead7478ab%22	https://framerusercontent.com/images/wZk20CyYiDP8NZZKmTxFGT8sU.png	C:/Users/ACER/Downloads/Azaad%20Panchi/Azaad%20Panchi/framerusercontent.com/images/wZk20CyYiDP8NZZKmTxFGT8sU.png	(from https://heartwarming-example-892411.framer.app/)
16:19:36	14645/14645	---MC-	200	added ('OK')	image/png	etag:%22c048cc5e7b2d535f99e5c9e2ec5d0088%22	https://framerusercontent.com/images/zASUV7leUpoeiNyTGXPvLvvMk.png	C:/Users/ACER/Downloads/Azaad%20Panchi/Azaad%20Panchi/framerusercontent.com/images/zASUV7leUpoeiNyTGXPvLvvMk.png	(from https://heartwarming-example-892411.framer.app/)
16:19:37	15256/15256	---MC-	200	added ('OK')	image/png	etag:%22329e0a5e96f6545b481025ed64c00e74%22	https://framerusercontent.com/images/zuLuO4vN7X3lvfhOK8Z0u7t73E.png	C:/Users/ACER/Downloads/Azaad%20Panchi/Azaad%20Panchi/framerusercontent.com/images/zuLuO4vN7X3lvfhOK8Z0u7t73E.png	(from https://heartwarming-example-892411.framer.app/)
16:19:37	16461/16461	---MC-	200	added ('OK')	image/png	etag:%22a04be54b777e2b88029265f26315b142%22	https://framerusercontent.com/images/uCNAKxZjvoRVdsKKLOkOTqRrg.png	C:/Users/ACER/Downloads/Azaad%20Panchi/Azaad%20Panchi/framerusercontent.com/images/uCNAKxZjvoRVdsKKLOkOTqRrg.png	(from https://heartwarming-example-892411.framer.app/)
